#ID	#Label	#Longitude	#Latitude
174	C174	116.767146	-26.8269159
175	C175	116.7627073	-26.82148846
176	C176	116.7613301	-26.82291113
177	C177	116.7634317	-26.82799351
178	C178	116.7611987	-26.82487698
179	C179	116.7644733	-26.82135602
180	C180	116.7677047	-26.8235112
181	C181	116.7677574	-26.82414156
182	C182	116.7613807	-26.82344169
183	C183	116.766763	-26.82156738
184	C184	116.7623196	-26.82792623
185	C185	116.7618808	-26.82684172
186	C186	116.7611495	-26.82416534
187	C187	116.7678962	-26.82551428
188	C188	116.7682371	-26.82470261
189	C189	116.7680438	-26.8233971
190	C190	116.7685012	-26.8241408
191	C191	116.7648745	-26.82773344
192	C192	116.7614764	-26.82718221
193	C193	116.7637109	-26.82115804
194	C194	116.7622888	-26.82736392
195	C195	116.7665419	-26.8218194
196	C196	116.7670628	-26.82233543
197	C197	116.7645424	-26.82761733
198	C198	116.7682532	-26.82523962
199	C199	116.7610607	-26.82257748
200	C200	116.766963	-26.82528073
201	C201	116.7634067	-26.82842181
202	C202	116.7637098	-26.827613
203	C203	116.760337	-26.8246924
204	C204	116.7652939	-26.8283618
205	C205	116.7608787	-26.82458576
206	C206	116.7653751	-26.82768902
207	C207	116.7659601	-26.82093591
208	C208	116.7655451	-26.82080717
209	C209	116.7660134	-26.82141401
210	C210	116.765662	-26.8215957
211	C211	116.7656703	-26.82117011
212	C212	116.7663145	-26.82120899
213	C213	116.7600867	-26.82541986
214	C214	116.7607958	-26.82543758
215	C215	116.7602056	-26.82500971
216	C216	116.7600324	-26.8258537
217	C217	116.7597561	-26.8256036
218	C218	116.7605133	-26.82521484
219	C219	116.767651	-26.8278177
220	C220	116.7672891	-26.82765479
221	C221	116.7673298	-26.82721763
222	C222	116.766967	-26.82782358
223	C223	116.7675715	-26.82745917
224	C224	116.7668773	-26.82748782
225	E1-1	116.7627663	-26.82017705
226	E1-2	116.7624285	-26.81991547
227	E1-3	116.7627393	-26.81976351
228	E1-4	116.7621333	-26.81972558
229	E1-5	116.7629951	-26.81950173
230	E1-6	116.7624133	-26.81922925
231	E2-1	116.7575812	-26.82106002
232	E2-2	116.7571411	-26.82075518
233	E2-3	116.7582742	-26.82063137
234	E2-4	116.7576853	-26.82062054
235	E2-5	116.7572467	-26.82034479
236	E2-6	116.7579644	-26.82030267
237	E3-1	116.7530506	-26.82574525
238	E3-2	116.7534118	-26.8257181
239	E3-3	116.7525791	-26.82539971
240	E3-4	116.7533349	-26.82533874
241	E3-5	116.7529682	-26.82530981
242	E3-6	116.7530614	-26.82497726
243	E4-1	116.7520466	-26.83431587
244	E4-2	116.7524497	-26.83423445
245	E4-3	116.7524928	-26.83386187
246	E4-4	116.7528935	-26.8337915
247	E4-5	116.7519148	-26.83370172
248	E4-6	116.7522365	-26.83333486
249	N1-1	116.7601497	-26.82900989
250	N1-2	116.7606991	-26.82898023
251	N1-3	116.7610568	-26.82891341
252	N1-4	116.7604849	-26.8287265
253	N1-5	116.7608437	-26.82863455
254	N1-6	116.7602443	-26.82831962
255	N2-1	116.7642049	-26.8323567
256	N2-2	116.7634234	-26.8323525
257	N2-3	116.7637745	-26.83221191
258	N2-4	116.7634227	-26.83203244
259	N2-5	116.7641982	-26.83189926
260	N2-6	116.763739	-26.83178841
261	N3-1	116.771122	-26.83354856
262	N3-2	116.7707261	-26.83354453
263	N3-3	116.7702908	-26.83336839
264	N3-4	116.7708843	-26.83325587
265	N3-5	116.770381	-26.83298091
266	N3-6	116.7709195	-26.83279833
267	N4-1	116.7793212	-26.83009728
268	N4-2	116.7791814	-26.82979154
269	N4-3	116.7795292	-26.82971812
270	N4-4	116.7788501	-26.82946553
271	N4-5	116.7795128	-26.82936374
272	N4-6	116.7791201	-26.82908633
273	S1-1	116.7703631	-26.82615138
274	S1-2	116.7699892	-26.82591782
275	S1-3	116.7696118	-26.82585567
276	S1-4	116.7703549	-26.82583525
277	S1-5	116.7700985	-26.82545142
278	S1-6	116.7704838	-26.82537765
279	S2-1	116.772083	-26.82189476
280	S2-2	116.7714744	-26.82176823
281	S2-3	116.7718145	-26.82163965
282	S2-4	116.7712388	-26.82140139
283	S2-5	116.7721587	-26.82131996
284	S2-6	116.7718594	-26.82104472
285	S3-1	116.769971	-26.81601882
286	S3-2	116.7696285	-26.81562856
287	S3-3	116.7690852	-26.81555426
288	S3-4	116.7701158	-26.81550478
289	S3-5	116.7692767	-26.81523649
290	S3-6	116.7697275	-26.81514361
291	S4-1	116.7618649	-26.81117181
292	S4-2	116.7613392	-26.81110183
293	S4-3	116.7621652	-26.81092563
294	S4-4	116.7616863	-26.81074688
295	S4-5	116.7618862	-26.8104525
296	S4-6	116.7613224	-26.81043869
297	E5-1	116.7587488	-26.84394699
298	E5-2	116.7593113	-26.84366272
299	E5-3	116.758716	-26.84360499
300	E5-4	116.7582899	-26.84348559
301	E5-5	116.7590691	-26.84327509
302	E5-6	116.7587759	-26.84296827
303	E6-1	116.7717769	-26.84975404
304	E6-2	116.7721822	-26.84962038
305	E6-3	116.7717076	-26.8492535
306	E6-4	116.7723117	-26.84915399
307	E6-5	116.7713075	-26.84908174
308	E6-6	116.7720743	-26.8488616
309	E7-1	116.7906677	-26.84866896
310	E7-2	116.7910262	-26.84854895
311	E7-3	116.7903222	-26.84848215
312	E7-4	116.7913485	-26.84839303
313	E7-5	116.7906526	-26.84806248
314	E7-6	116.7910011	-26.84790263
315	E8-1	116.8116745	-26.8363453
316	E8-2	116.8121999	-26.83616165
317	E8-3	116.8112332	-26.8360942
318	E8-4	116.8120439	-26.83577632
319	E8-5	116.8116774	-26.83574934
320	E8-6	116.8111896	-26.83568571
321	E9-1	116.8261115	-26.81023238
322	E9-2	116.8264827	-26.80995352
323	E9-3	116.826081	-26.8097928
324	E9-4	116.8267997	-26.80959316
325	E9-5	116.826478	-26.80945514
326	E9-6	116.8260119	-26.80945385
327	S5-1	116.7491272	-26.81152597
328	S5-2	116.7490547	-26.81109842
329	S5-3	116.7496873	-26.81091406
330	S5-4	116.7486614	-26.81087983
331	S5-5	116.7492924	-26.81082273
332	S5-6	116.7488724	-26.8105963
333	S6-1	116.7369384	-26.81849759
334	S6-2	116.7374566	-26.81848799
335	S6-3	116.7372028	-26.81825846
336	S6-4	116.7376329	-26.81799621
337	S6-5	116.7367779	-26.81796736
338	S6-6	116.7372458	-26.8178076
339	S7-1	116.7286485	-26.83374709
340	S7-2	116.7281764	-26.83347982
341	S7-3	116.7290074	-26.83342162
342	S7-4	116.7286519	-26.8332142
343	S7-5	116.7288959	-26.8329414
344	S7-6	116.728237	-26.83288695
345	S8-1	116.7296735	-26.8560953
346	S8-2	116.7300576	-26.8560741
347	S8-3	116.7304059	-26.85574847
348	S8-4	116.7300923	-26.85559479
349	S8-5	116.7297105	-26.85548493
350	S8-6	116.7300099	-26.8551816
351	S9-1	116.7478812	-26.88073626
352	S9-2	116.7473977	-26.88057617
353	S9-3	116.7478699	-26.88033877
354	S9-4	116.7473076	-26.88021958
355	S9-5	116.7483166	-26.88001382
356	S9-6	116.7475354	-26.87992913
357	N5-1	116.7851002	-26.82014855
358	N5-2	116.7855278	-26.82006489
359	N5-3	116.7848767	-26.81983794
360	N5-4	116.7852767	-26.81970067
361	N5-5	116.785792	-26.81951644
362	N5-6	116.785225	-26.8193791
363	N6-1	116.7843351	-26.8070545
364	N6-2	116.784902	-26.80703233
365	N6-3	116.7845194	-26.80677593
366	N6-4	116.7841326	-26.80675068
367	N6-5	116.7849203	-26.80671248
368	N6-6	116.7845937	-26.80636045
369	N7-1	116.7739721	-26.79281135
370	N7-2	116.7735765	-26.792698
371	N7-3	116.7743154	-26.79269621
372	N7-4	116.7745857	-26.79247191
373	N7-5	116.7742106	-26.79234492
374	N7-6	116.7738522	-26.792231
375	N8-1	116.7515433	-26.78285983
376	N8-2	116.752285	-26.78263646
377	N8-3	116.7513539	-26.78258462
378	N8-4	116.7517881	-26.7824441
379	N8-5	116.7514499	-26.78225374
380	N8-6	116.7520839	-26.78213682
381	N9-1	116.7193487	-26.78450672
382	N9-2	116.7196165	-26.78423906
383	N9-3	116.7188221	-26.78418602
384	N9-4	116.71924	-26.78408511
385	N9-5	116.7194779	-26.78376003
386	N9-6	116.718931	-26.78372956
387	E10-1	116.8347371	-26.86176268
388	E10-2	116.834348	-26.86159647
389	E10-3	116.8353121	-26.8615534
390	E10-4	116.8347631	-26.86125593
391	E10-5	116.8344672	-26.86094903
392	E10-6	116.8351963	-26.86090599
393	E11-1	116.8641579	-26.85878643
394	E11-2	116.8636119	-26.85870578
395	E11-3	116.8638423	-26.85834261
396	E11-4	116.8646105	-26.85829028
397	E11-5	116.8636348	-26.85805447
398	E11-6	116.8643041	-26.85797243
399	E12-1	116.8672039	-26.90680861
400	E12-2	116.8667745	-26.90652953
401	E12-3	116.8662078	-26.90646679
402	E12-4	116.8671252	-26.90629902
403	E12-5	116.8667427	-26.90614098
404	E12-6	116.8663364	-26.90612716
405	E13-1	116.9401077	-26.83064117
406	E13-2	116.9392886	-26.8306141
407	E13-3	116.9397308	-26.83051693
408	E13-4	116.9393104	-26.8302564
409	E13-5	116.939966	-26.83021914
410	E13-6	116.9396636	-26.83002688
411	E14-1	116.9922323	-26.79902736
412	E14-2	116.9916868	-26.79866777
413	E14-3	116.9920482	-26.7986387
414	E14-4	116.9926364	-26.79850684
415	E14-5	116.9919191	-26.7982143
416	E14-6	116.9925288	-26.79820227
417	E15-1	117.0158578	-26.69732178
418	E15-2	117.0155882	-26.69708802
419	E15-3	117.0162532	-26.6969127
420	E15-4	117.0156053	-26.69673156
421	E15-5	117.0159925	-26.69667824
422	E15-6	117.0151704	-26.69667332
423	E16-1	117.1008345	-26.69055242
424	E16-2	117.1003946	-26.69039417
425	E16-3	117.1014443	-26.69031374
426	E16-4	117.1006012	-26.69008062
427	E16-5	117.1009888	-26.68998431
428	E16-6	117.1006102	-26.68974898
429	S10-1	116.6934694	-26.86364934
430	S10-2	116.6936477	-26.86332065
431	S10-3	116.6940413	-26.86328963
432	S10-4	116.6933202	-26.86314137
433	S10-5	116.6937032	-26.86286849
434	S10-6	116.6932109	-26.86280413
435	S11-1	116.6668404	-26.89933818
436	S11-2	116.6672183	-26.89931558
437	S11-3	116.6674161	-26.89901239
438	S11-4	116.6662459	-26.898997
439	S11-5	116.6667466	-26.89886667
440	S11-6	116.6667282	-26.89853735
441	S12-1	116.621806	-26.86551456
442	S12-2	116.6212838	-26.86537586
443	S12-3	116.6209025	-26.86524562
444	S12-4	116.6215548	-26.86514601
445	S12-5	116.6213153	-26.86482914
446	S12-6	116.6217019	-26.86470905
447	S13-1	116.654655	-26.94980057
448	S13-2	116.6543054	-26.94974299
449	S13-3	116.6546702	-26.94945108
450	S13-4	116.6541229	-26.94929703
451	S13-5	116.6550111	-26.94917824
452	S13-6	116.6544358	-26.94914686
453	S14-1	116.6724452	-27.01275912
454	S14-2	116.6721744	-27.01249221
455	S14-3	116.6726362	-27.01237268
456	S14-4	116.6730036	-27.01226612
457	S14-5	116.6721143	-27.0121388
458	S14-6	116.6726135	-27.01183478
459	S15-1	116.7350929	-27.06405311
460	S15-2	116.7346518	-27.06377415
461	S15-3	116.7350833	-27.06373507
462	S15-4	116.7355045	-27.06359356
463	S15-5	116.7345239	-27.06347916
464	S15-6	116.7350733	-27.06318397
465	S16-1	116.7249633	-27.1277494
466	S16-2	116.7244782	-27.12761601
467	S16-3	116.7253556	-27.12752824
468	S16-4	116.7248094	-27.12736266
469	S16-5	116.724343	-27.12729809
470	S16-6	116.7250603	-27.12713916
471	N10-1	116.7629117	-26.75105887
472	N10-2	116.7625575	-26.75091736
473	N10-3	116.7622003	-26.75086263
474	N10-4	116.7629698	-26.75068532
475	N10-5	116.7626113	-26.75056634
476	N10-6	116.7623293	-26.75031407
477	N11-1	116.8051832	-26.72196935
478	N11-2	116.8048251	-26.72182177
479	N11-3	116.8052279	-26.72161185
480	N11-4	116.804888	-26.7214978
481	N11-5	116.8056074	-26.72145048
482	N11-6	116.8051393	-26.72108151
483	N12-1	116.7246454	-26.71301006
484	N12-2	116.7254414	-26.71294578
485	N12-3	116.724987	-26.71276973
486	N12-4	116.7253591	-26.71246973
487	N12-5	116.7244721	-26.71244054
488	N12-6	116.7250108	-26.71240138
489	N13-1	116.6800133	-26.6850214
490	N13-2	116.6804197	-26.68492388
491	N13-3	116.6797939	-26.68475241
492	N13-4	116.680207	-26.68455841
493	N13-5	116.6798233	-26.68435021
494	N13-6	116.6802391	-26.68422317
495	N14-1	116.6251826	-26.66182193
496	N14-2	116.6254959	-26.66167061
497	N14-3	116.6252036	-26.66138424
498	N14-4	116.6248264	-26.6613602
499	N14-5	116.6254433	-26.66107185
500	N14-6	116.6248821	-26.66097463
501	N15-1	116.5451234	-26.70516586
502	N15-2	116.5456468	-26.70502263
503	N15-3	116.5447981	-26.70481611
504	N15-4	116.5452092	-26.7047463
505	N15-5	116.5455271	-26.70460081
506	N15-6	116.5448237	-26.70440536
507	N16-1	116.4524469	-26.60137167
508	N16-2	116.4531217	-26.60115099
509	N16-3	116.4525556	-26.60097515
510	N16-4	116.4530242	-26.60081122
511	N16-5	116.4521976	-26.60076065
512	N16-6	116.4525843	-26.60061336


